latitude,longitude
40.672801,-73.9692258
40.6937345,-73.9904195
40.6930407,-73.9907327
40.6767482,-73.90089
40.6766302,-73.9008632
40.6772039,-73.9011958
40.6768891,-73.9009096
40.7367016,-73.9528712
40.7392463,-73.9526459
40.7375037397543,-73.95300568335963
40.736805967436936,-73.952888800267
40.7304668,-73.9514147
40.7320795,-73.94461
40.731425,-73.9464
40.730884,-73.947895
40.730722,-73.94877
40.6910267,-73.9893829
40.6903889,-73.9898121
40.700782,-73.9908885
40.7007425,-73.9897339
40.6778426,-73.9032879
40.67885,-73.9035547
40.6728731,-73.9690224
40.7107933,-73.9527927
40.710715,-73.953582
40.8627562,-73.9044325
40.8627628,-73.9010426
40.862735,-73.903319
40.862717,-73.902293
40.8148632,-73.9287942
40.8130615,-73.9298812
40.8059831,-73.9254369
40.8074651,-73.9289815
40.8058756069042,-73.92518256307167
40.8067067,-73.9245841
40.8049127,-73.9262053
40.80524852481921,-73.92573052234106
40.764639,-73.932249
40.7652267,-73.9316965
40.7416276,-73.9542449
40.7412903,-73.9543395
40.7419052,-73.9497774
40.7417208,-73.9513407
40.7419342,-73.9537827
40.746372,-73.9428109
40.7467434,-73.9431941
40.7468366,-73.9432589
40.7423457,-73.9516117
40.7432251,-73.9513358
40.7166035,-73.9223024
40.719348,-73.912321
40.718811,-73.914265
40.716795,-73.921538
40.718555,-73.915167
40.7177579,-73.9180697
40.698188,-73.961899
40.698039,-73.962839
40.699841,-73.908683
40.6995563,-73.9110442
40.7680744,-73.9061114
40.7420806,-73.9507033
40.7427585,-73.9504627
40.7685452,-73.909003
40.7682235,-73.9070602
40.8624678,-73.9141793
40.8631878,-73.9158633
40.7671189,-73.9817098
40.7676798,-73.9818825
40.742834,-74.007705
40.742541,-74.0079278
40.7619572,-74.0010621
40.7487251,-73.9699729
40.751665754152064,-73.96782908030283
40.74917002571245,-73.96964853662477
40.74885664557357,-73.96987699957204
40.7520343,-73.9675604
40.75139329602693,-73.96802770994954
40.6896884,-73.9923676
40.6911908,-73.9978034
40.6831621,-73.9768053
40.6834888,-73.9770446
40.746143,-73.941736
40.7446215,-73.9326468
40.743435,-73.9224442
40.7438644,-73.9261914
40.7437554,-73.9252225
40.7436451,-73.9243022
40.742877,-73.951233
40.7428685,-73.9509976
40.7423276,-73.9514961
40.7392124,-73.9525301
40.740853598589965,-73.95197975605618
40.74223624859845,-73.95152525595456
40.7447527,-73.933575
40.7451352,-73.9369191
40.745069,-73.93635
40.7457308,-73.9398881
40.7459241,-73.9407548
40.7427278,-73.9491605
40.7425326,-73.949228
40.7434268,-73.9489241
40.7443441,-73.9486231
40.7439217,-73.9487612
40.770704,-73.9174285
40.7708282,-73.9172832
40.7426528,-73.951405
40.720246,-73.9443992
40.7208288,-73.9448997
40.7365974,-73.9278823
40.7361725,-73.9253901
40.7364278,-73.9267268
40.7362743,-73.9257604
40.7365579,-73.9276066
40.7371261,-73.9308832
40.736867,-73.9314799
40.737152,-73.930814
40.737536,-73.929946
40.6894849,-73.9902371
40.6890526,-73.9904353
40.6897042,-73.9900812
40.7704906,-73.9176837
40.7704354,-73.9177485
40.7703292,-73.917587
40.7519507,-74.0006834
40.7519412,-73.999556
40.7510669,-73.9980331
40.7015183,-74.0124663
40.7187635,-73.9751052
40.7175925,-73.9754056
40.7198093,-73.9782582
40.7191978,-73.9763409
40.7310416,-73.9739691
40.7322984,-73.9743344
40.7327455,-73.9744611
40.7353695,-73.9747807
40.748263,-73.9686462
40.74756,-73.9687565
40.7589757,-73.964501
40.7596362,-73.9639971
40.80256705617865,-73.93056380108288
40.7198817,-73.9788004
40.7190692,-73.976395
40.8269238,-73.9351374
40.8266342,-73.9352662
40.8280397,-73.9345631
40.8280426,-73.9348171
40.8475695,-73.9294839
40.845786697843046,-73.9254951437869
