location,acci_counts
"(40.7325906, -73.9744203)",124
"(40.7312318, -73.9739854)",0
"(40.8399295, -73.9407749)",0
"(40.6800114, -73.9054229)",0
"(40.6781232, -73.9077589)",0
"(40.7457162, -73.9780908)",320
"(40.746402, -73.979724)",163
"(40.6815034, -73.9666033)",0
"(40.680141, -73.905659)",0
"(40.742511, -73.917873)",0
"(40.8627971, -73.9084662)",0
"(40.8627007, -73.909002)",0
"(40.7469955, -73.9771464)",236
"(40.7438417, -73.9736538)",0
"(40.7880638, -73.9443183)",90
"(40.7869675, -73.9451148)",0
"(40.7829443, -73.9480373)",64
"(40.7823112, -73.9485053)",73
"(40.7819196, -73.9487921)",0
"(40.78168, -73.9489676)",102
"(40.7806644, -73.9497118)",0
"(40.7804348, -73.9498809)",69
"(40.769747, -73.9606044)",97
"(40.794776, -73.942336)",42
"(40.7291332, -73.9902061)",1
"(40.752108, -73.944235)",0
"(40.8764763, -73.9074308)",0
"(40.749508, -73.9363783)",0
"(40.798485, -73.9610904)",0
"(40.7982075, -73.9604245)",0
"(40.7593876, -73.9969538)",40
"(40.7823163, -73.9443755)",0
"(40.7828455, -73.94374)",0
"(40.7917186, -73.9628103)",0
"(40.7916741, -73.9647071)",107
"(40.8144635, -73.9353786)",0
"(40.8147669, -73.9361076)",0
"(40.8147964, -73.9361974)",0
"(40.7856443, -73.9842673)",0
"(40.8621121, -73.9300037)",0
"(40.8622188, -73.9296889)",10
"(40.7820374, -73.9717336)",195
"(40.7815938, -73.971385)",0
"(40.759913, -73.958809)",255
"(40.7593048, -73.9592537)",69
"(40.7186389, -74.0025285)",62
"(40.7208634, -74.0006449)",90
"(40.7167984, -74.0040877)",0
"(40.719938, -74.001425)",27
"(40.716871, -74.004026)",45
"(40.719153, -74.002091)",13
"(40.7180338, -74.003043)",43
"(40.717449, -74.003533)",45
"(40.7801304, -73.9570594)",0
"(40.7808689, -73.9588106)",65
"(40.7802344, -73.957306)",0
"(40.7795072, -73.9555814)",128
"(40.8038762, -73.9461314)",16
"(40.8032791, -73.944718)",0
"(40.7179523, -74.0055874)",1
"(40.7182987, -74.0053609)",79
"(40.7190194, -74.0051717)",44
"(40.7482137, -74.0074126)",0
"(40.7488769, -74.006932)",0
"(40.736564, -74.001095)",84
"(40.7336094, -74.0028114)",61
"(40.7350691, -74.0019694)",27
"(40.7357944, -74.0015452)",48
"(40.7337334, -74.0027408)",0
"(40.7355352, -74.0016967)",21
"(40.7343413, -74.002395)",45
"(40.7716213, -73.9904588)",57
"(40.771795, -73.9903315)",0
"(40.7336634, -73.9995234)",0
"(40.73407, -73.999653)",13
"(40.7965966, -73.9494264)",0
"(40.7970975, -73.9497371)",12
"(40.757912, -73.977655)",166
"(40.7592744, -73.9808828)",157
"(40.7567712, -73.9827118)",170
"(40.755405, -73.979483)",149
"(40.756032, -73.979024)",102
"(40.7553543, -73.9774168)",58
"(40.8204537, -73.9362503)",175
"(40.8201109, -73.935468)",0
"(40.7645771, -73.9736247)",68
"(40.7656707, -73.9762208)",220
"(40.7699112, -73.9805755)",39
"(40.7692746, -73.9810292)",49
"(40.779542, -73.959774)",54
"(40.7802255, -73.9613814)",46
"(40.7368919, -74.0055186)",17
"(40.7365314, -74.0058168)",17
"(40.7614413, -73.9624232)",0
"(40.7363498, -73.9890708)",0
"(40.7365253, -73.9889418)",0
"(40.7138072, -73.9850489)",0
"(40.7145168, -73.9847039)",2
"(40.732255, -73.996351)",56
"(40.732946, -73.997987)",12
"(40.8176383, -73.9609797)",0
"(40.8175201, -73.9607101)",34
"(40.81751, -73.960687)",34
"(40.708794, -74.0008601)",5
"(40.7083535, -74.0004737)",12
"(40.7134877, -73.9850952)",0
"(40.7665113, -73.9510319)",8
"(40.7667452, -73.9514025)",0
"(40.8194589, -73.9319137)",0
"(40.8197265, -73.9345921)",0
"(40.7503112, -73.9911207)",209
"(40.744099, -73.995645)",237
"(40.739881, -73.998713)",84
"(40.741642, -73.997434)",96
"(40.743431, -73.996129)",82
"(40.742228, -73.997007)",87
"(40.742811, -73.99658)",77
"(40.741056, -73.997862)",84
"(40.74047, -73.998287)",81
"(40.758538, -73.977201)",143
"(40.7599106, -73.9804176)",141
"(40.7651235, -73.9730592)",0
"(40.764279, -73.973015)",291
"(40.8156982, -73.9396028)",0
"(40.815997, -73.9393897)",0
"(40.7770899, -73.9639315)",2
"(40.7770004, -73.9637494)",97
"(40.729811, -74.0103484)",0
"(40.8168177, -73.9612132)",0
"(40.8137124, -73.962251)",0
"(40.8113269, -73.9640143)",16
"(40.8382107, -73.9469759)",0
"(40.8410394, -73.9447121)",183
"(40.7955204, -73.9759847)",0
"(40.7927886, -73.9770328)",0
"(40.8064203, -73.9443646)",0
"(40.8045514, -73.9457366)",6
"(40.8051788, -73.9452725)",11
"(40.7892723, -73.9569082)",0
"(40.7885847, -73.9552767)",59
"(40.7879101, -73.9557686)",66
"(40.7923849, -73.9641866)",89
"(40.7829879, -73.9739815)",0
"(40.7139712, -74.0030556)",1
"(40.7148571, -74.002299)",0
"(40.7517, -73.986399)",181
"(40.7515125, -73.9859694)",0
"(40.7507799, -73.9684749)",42
"(40.7507557, -73.9684154)",42
"(40.751748, -73.970804)",155
"(40.7525411, -73.9726808)",1
"(40.7861728, -73.9714247)",0
"(40.7652791, -73.9521298)",15
"(40.7654239, -73.9524599)",0
"(40.7797899, -73.9707975)",0
"(40.7800813, -73.9712517)",0
"(40.7421387, -73.9870584)",26
"(40.7408836, -73.9879839)",84
"(40.76399, -73.958781)",97
"(40.7649866, -73.9611457)",127
"(40.7659323, -73.9633881)",91
"(40.768646, -73.969825)",79
"(40.7672427, -73.9664877)",0
"(40.7673389, -73.9667158)",0
"(40.7679674, -73.9682154)",83
"(40.7666073, -73.9649892)",57
"(40.7657726, -73.9630122)",0
"(40.7651455, -73.9615223)",0
"(40.820283, -73.959539)",0
"(40.8200145, -73.9588978)",62
"(40.820005, -73.958875)",62
"(40.7638183, -73.9464964)",0
"(40.7635979, -73.9714037)",141
"(40.7117008, -74.0069661)",34
"(40.7119161, -74.0060393)",37
"(40.711983, -74.0051897)",0
"(40.7115069, -74.004459)",0
"(40.7415497, -73.9895958)",166
"(40.7413644, -73.9891371)",56
"(40.787901, -73.953672)",108
"(40.826334, -73.938459)",9
"(40.825648, -73.93986)",4
"(40.7815298, -73.9627815)",0
"(40.7808558, -73.9609186)",62
"(40.7810044, -73.9621853)",0
"(40.760418, -73.975831)",127
"(40.7616163, -73.9786703)",0
"(40.7692528, -73.9948535)",0
"(40.8563611, -73.9248524)",0
"(40.8582293, -73.9256869)",0
"(40.8351645, -73.9456209)",1
"(40.8346374, -73.9454515)",0
"(40.8349265, -73.9455412)",0
"(40.848246, -73.9373303)",0
"(40.8011616, -73.9596304)",78
"(40.794419, -73.971232)",0
"(40.7570801, -74.0010659)",67
"(40.7566366, -73.9999956)",0
"(40.732756, -73.990027)",50
"(40.7340968, -73.9898386)",0
"(40.733528, -73.989868)",72
"(40.8010634, -73.9503147)",0
"(40.800066, -73.9510418)",0
"(40.8006933, -73.9505845)",0
"(40.764898, -73.972553)",142
"(40.720836, -73.997655)",90
"(40.7223037, -73.9971275)",74
"(40.7120904, -74.0101303)",31
"(40.7127264, -74.0096747)",40
"(40.710369, -74.0111931)",24
"(40.7110079, -74.0107608)",22
"(40.711535, -74.010465)",70
"(40.7706087, -73.9822655)",0
"(40.7710881, -73.9834027)",51
"(40.7158153, -73.9948695)",14
"(40.7159418, -73.9948792)",0
"(40.758663, -73.959722)",55
"(40.757364, -73.960671)",62
"(40.758037, -73.960182)",18
"(40.7052372, -74.0047522)",13
"(40.705794, -74.0055072)",10
"(40.8467983, -73.9318397)",85
"(40.847999, -73.934693)",39
"(40.84852, -73.935929)",22
"(40.7294404, -73.9780305)",53
"(40.725685, -73.980768)",12
"(40.722019, -73.983444)",44
"(40.726866, -73.979906)",38
"(40.725073, -73.981211)",48
"(40.724494, -73.981637)",36
"(40.728106, -73.978998)",37
"(40.728746, -73.978536)",26
"(40.727468, -73.979469)",40
"(40.723278, -73.982524)",53
"(40.722671, -73.982964)",75
"(40.722281, -73.9801561)",36
"(40.7258829, -73.9775364)",33
"(40.7246931, -73.9784069)",26
"(40.7240764, -73.9788469)",25
"(40.7228841, -73.9797155)",31
"(40.7234973, -73.9792659)",29
"(40.8006146, -73.9585106)",0
"(40.8007033, -73.9587137)",0
"(40.768025, -73.970281)",70
"(40.7673451, -73.9686697)",83
"(40.7414704, -74.00874)",20
"(40.7407313, -74.00896)",19
"(40.7377054, -73.9880935)",0
"(40.7388718, -73.9872452)",0
"(40.76104, -73.975373)",125
"(40.7603636, -73.9737663)",80
"(40.7424733, -73.9888944)",0
"(40.7422112, -73.9890959)",0
"(40.817189, -73.934463)",22
"(40.7062925, -74.0143097)",0
"(40.7077766, -74.0129583)",39
"(40.7069636, -74.0135064)",15
"(40.7087705, -73.9992643)",0
"(40.7088382, -73.9993476)",0
"(40.7864938, -73.9524117)",0
"(40.7872313, -73.9541598)",180
"(40.7866018, -73.9526675)",0
"(40.7858671, -73.9509262)",150
"(40.7306011, -73.9923997)",54
"(40.7309542, -73.9932433)",12
"(40.772417, -73.978728)",94
"(40.7717082, -73.9776645)",0
"(40.7684918, -73.9712254)",0
"(40.7688496, -73.9722485)",0
"(40.749724, -73.983621)",171
"(40.74905, -73.982024)",65
"(40.8662, -73.928057)",56
"(40.7286179, -74.0053112)",199
"(40.7294709, -74.0051447)",43
"(40.8008055, -73.9580226)",1
"(40.8007335, -73.9584483)",0
"(40.8350754, -73.9397872)",0
"(40.8353595, -73.9401964)",30
"(40.7464005, -73.9817748)",0
"(40.7457862, -73.9822164)",0
"(40.8571635, -73.9282354)",30
"(40.7134688, -73.9972984)",38
"(40.7138283, -73.9929765)",0
"(40.7137475, -73.9939452)",58
"(40.8058347, -73.9429711)",0
"(40.7733383, -73.955044)",156
"(40.7742888, -73.9572899)",119
"(40.7755735, -73.9603796)",0
"(40.775675, -73.9606194)",0
"(40.7763235, -73.9621508)",123
"(40.7749718, -73.9588917)",102
"(40.75786, -73.975591)",113
"(40.7945858, -73.9737244)",45
"(40.7113899, -74.0086338)",105
"(40.7375128, -73.9528845)",0
"(40.7375237, -73.9527411)",0
"(40.7375073, -73.952957)",0
"(40.7042752, -73.9671497)",0
"(40.7057397, -73.9679262)",0
"(40.7049832, -73.9675956)",0
"(40.693135, -73.969831)",0
"(40.6961018, -73.9704276)",0
"(40.689468, -73.969103)",0
"(40.6978553, -73.9707794)",0
"(40.686403, -73.968491)",0
"(40.687868, -73.968785)",0
"(40.6958171, -73.9703722)",0
"(40.691564, -73.969521)",0
"(40.696184, -73.980364)",0
"(40.6960374, -73.9763838)",0
"(40.6959594, -73.9742668)",0
"(40.737152, -73.956902)",0
"(40.7372007, -73.9563608)",0
"(40.6723564, -74.0112879)",0
"(40.6722322, -74.0110084)",0
"(40.719979, -73.9441952)",0
"(40.7140639, -73.9528538)",0
"(40.7219144, -73.941028)",0
"(40.7150489, -73.9517608)",0
"(40.7161052, -73.9503393)",0
"(40.7213129, -73.9418934)",0
"(40.7207974, -73.9427682)",0
"(40.7178128, -73.9476863)",0
"(40.7152848, -73.9514451)",0
"(40.7164744, -73.9497643)",0
"(40.7192534, -73.9453645)",0
"(40.7169685, -73.9489846)",0
"(40.718662, -73.9463575)",0
"(40.7174432, -73.9482647)",0
"(40.718414, -73.9467338)",0
"(40.678805, -74.003766)",0
"(40.682658, -74.006678)",0
"(40.67747, -74.002629)",0
"(40.6814583, -74.0059027)",0
"(40.678575, -74.003569)",0
"(40.6808786, -74.0054527)",0
"(40.6803195, -74.0049891)",0
"(40.6776401, -74.0027679)",0
"(40.6721307, -74.0106373)",0
"(40.6717583, -74.0092373)",0
"(40.6964835, -73.9803903)",0
"(40.6997091, -73.9804644)",0
"(40.7012341, -73.9808629)",0
"(40.695004, -73.952489)",0
"(40.69133, -73.951757)",0
"(40.6840016, -73.9502991)",0
"(40.689864, -73.951464)",0
"(40.684735, -73.950446)",0
"(40.6934672, -73.9521886)",0
"(40.6854686, -73.9505903)",0
"(40.692063, -73.951902)",0
"(40.694263, -73.952341)",0
"(40.687667, -73.951028)",0
"(40.690597, -73.951612)",0
"(40.689133, -73.951319)",0
"(40.6869322, -73.9508828)",0
"(40.6883983, -73.9511747)",0
"(40.697204, -73.952925)",0
"(40.6862, -73.950737)",0
"(40.7140701, -73.95434)",0
"(40.711752, -73.955797)",0
"(40.711113, -73.956199)",0
"(40.712266, -73.955476)",0
"(40.674742, -73.99777)",0
"(40.6752011, -73.9993559)",0
"(40.7005088, -73.9624586)",0
"(40.7009313, -73.9618636)",0
"(40.698998, -73.961601)",0
"(40.699177, -73.960499)",0
"(40.7382224, -73.9529964)",0
"(40.7382257, -73.9528572)",0
"(40.7382184, -73.9531707)",0
"(40.738226, -73.952843)",0
"(40.7379956, -73.9553655)",0
"(40.6725398, -73.9988518)",0
"(40.673471, -73.998388)",0
"(40.7029848, -73.994711)",0
"(40.7029099, -73.9947658)",0
"(40.730678, -73.94922)",0
"(40.734936, -73.949925)",0
"(40.734224, -73.949803)",0
"(40.736707, -73.950205)",0
"(40.732094, -73.949451)",0
"(40.735637, -73.950033)",0
"(40.736348, -73.950157)",0
"(40.731387, -73.949338)",0
"(40.732801, -73.949573)",0
"(40.733509, -73.949684)",0
"(40.6751067, -74.0016082)",0
"(40.6755989, -74.0014389)",0
"(40.725907, -73.935398)",0
"(40.726404, -73.936052)",0
"(40.7025579, -73.9916036)",0
"(40.701615, -73.989675)",0
"(40.697717, -73.967727)",0
"(40.6978132, -73.9697267)",0
"(40.7061431, -73.9581264)",0
"(40.703032, -73.959889)",0
"(40.6998565, -73.9616556)",0
"(40.704768, -73.958884)",0
"(40.7031913, -73.9597995)",0
"(40.7002632, -73.96128)",0
"(40.70113, -73.960862)",0
"(40.7237852, -73.9375369)",0
"(40.7239336, -73.9369033)",0
"(40.7106006, -73.9667821)",0
"(40.7108185, -73.9684996)",0
"(40.703437, -73.960341)",0
"(40.705181, -73.959338)",1
"(40.707252, -73.958456)",0
"(40.701663, -73.961452)",0
"(40.67397, -73.996274)",0
"(40.674134, -73.99664)",0
"(40.6979088, -73.9628657)",0
"(40.6960418, -73.9648566)",0
"(40.6965753, -73.9636986)",0
"(40.6961333, -73.9645549)",0
"(40.7354126, -73.9524297)",0
"(40.7361196, -73.9525336)",0
"(40.7368301, -73.9526379)",0
"(40.679515, -73.911082)",0
"(40.6782898, -73.9108023)",0
"(40.677521, -73.910814)",0
"(40.7071381, -73.9570903)",0
"(40.707879, -73.956808)",0
"(40.706568, -73.957597)",0
"(40.7262985, -73.9573469)",0
"(40.7246401, -73.9576595)",0
"(40.7255302, -73.9574798)",0
"(40.686641, -73.9798125)",0
"(40.713799, -73.933179)",0
"(40.722602, -73.937106)",0
"(40.7144014, -73.9334534)",0
"(40.717838, -73.934983)",0
"(40.7232797, -73.9374236)",0
"(40.717209, -73.934704)",0
"(40.7212263, -73.9364977)",0
"(40.672681, -73.953019)",0
"(40.6769333, -73.9526377)",0
"(40.675355, -73.952768)",0
"(40.6762439, -73.9526696)",0
"(40.674462, -73.952849)",0
"(40.673571, -73.952937)",0
"(40.727794, -73.937243)",0
"(40.7248541, -73.9367919)",0
"(40.726327, -73.93701)",0
"(40.7001982, -73.953888)",0
"(40.70257, -73.950251)",0
"(40.6780149, -74.0041458)",0
"(40.678479, -74.005852)",0
"(40.6863222, -74.0045118)",0
"(40.6857601, -74.0023528)",0
"(40.689365, -73.905793)",0
"(40.684939, -73.910132)",0
"(40.6878948, -73.9072341)",0
"(40.686417, -73.908688)",0
"(40.6963387, -73.9764371)",0
"(40.6981006, -73.9767937)",0
"(40.7242872, -73.9577017)",0
"(40.72339, -73.956273)",0
"(40.691196, -73.9996934)",0
"(40.6909555, -73.999808)",0
"(40.675273, -73.906203)",0
"(40.6751819, -73.904747)",0
"(40.811718, -73.926697)",0
"(40.8113652, -73.9270455)",0
"(40.829957, -73.929902)",0
"(40.8298528, -73.9305519)",0
"(40.8248295, -73.9112922)",0
"(40.82544, -73.9131805)",0
"(40.8256998, -73.9139702)",0
"(40.8412646, -73.9280492)",0
"(40.8412847, -73.9281264)",0
"(40.831266, -73.9319169)",0
"(40.8300213, -73.931742)",0
"(40.854822, -73.911196)",0
"(40.8537915, -73.9072965)",2
"(40.85396, -73.90943)",0
"(40.853817, -73.908501)",0
"(40.854469, -73.910072)",0
"(40.853759, -73.912273)",0
"(40.8291802, -73.9287468)",0
"(40.828564, -73.9277598)",0
"(40.816047, -73.911942)",0
"(40.81806, -73.904999)",0
"(40.818737, -73.90347)",0
"(40.8159664, -73.9091237)",0
"(40.817179, -73.90665)",0
"(40.819695, -73.901602)",0
"(40.8189087, -73.903114)",0
"(40.817925, -73.905313)",0
"(40.8162622, -73.9082103)",0
"(40.815977, -73.911025)",0
"(40.8161012, -73.9177497)",0
"(40.8160611, -73.9176277)",0
"(40.8278648, -73.9120281)",0
"(40.8288703, -73.9115486)",0
"(40.828749, -73.91166)",0
"(40.8076613, -73.9080281)",0
"(40.807152, -73.908207)",0
"(40.8762938, -73.9039472)",0
"(40.8656604, -73.9084806)",0
"(40.874617, -73.904708)",0
"(40.8762017, -73.9040341)",0
"(40.824456, -73.9085201)",0
"(40.8250801, -73.907926)",0
"(40.8574544, -73.9096496)",0
"(40.8443696, -73.9228968)",0
"(40.8442913, -73.9229259)",0
"(40.8530249, -73.9052647)",0
"(40.853474, -73.906448)",0
"(40.853149, -73.905602)",0
"(40.8484693, -73.9022306)",0
"(40.8481052, -73.9014959)",0
"(40.827427, -73.9121654)",0
"(40.816761, -73.91746)",0
"(40.8277457, -73.9116841)",0
"(40.8275438, -73.9120478)",0
"(40.8193048, -73.9302218)",0
"(40.818769, -73.9282973)",0
"(40.8517881, -73.9091995)",0
"(40.8504245, -73.915373)",0
"(40.850781, -73.912212)",0
"(40.851983, -73.910175)",0
"(40.849968, -73.914156)",0
"(40.8507091, -73.9074141)",0
"(40.851319, -73.908411)",0
"(40.8508433, -73.9076281)",0
"(40.8477587, -73.9016506)",0
"(40.718276, -73.902184)",0
"(40.718679, -73.902294)",0
"(40.7194128, -73.9024796)",0
"(40.7229644, -73.9205257)",0
"(40.7261155, -73.9194396)",0
"(40.7240128, -73.9200859)",0
"(40.7522319, -73.9391027)",0
"(40.731816, -73.926034)",0
"(40.7315767, -73.9248292)",0
"(40.750647, -73.945656)",0
"(40.751842, -73.948053)",0
"(40.753013, -73.950402)",0
"(40.7510507, -73.9464701)",0
"(40.752609, -73.949596)",0
"(40.752218, -73.948807)",0
"(40.751436, -73.947239)",0
"(40.7288313, -73.9195343)",0
"(40.727609, -73.9121)",0
"(40.728501, -73.917967)",0
"(40.7293712, -73.9285794)",0
"(40.7364176, -73.9092182)",0
"(40.7393356, -73.9003404)",0
"(40.7364237, -73.9078319)",0
"(40.7371484, -73.9056191)",0
"(40.7386142, -73.9017908)",0
"(40.736718, -73.906747)",0
"(40.7383507, -73.9027377)",0
"(40.7390414, -73.9008317)",0
"(40.7380092, -73.9036909)",0
"(40.737582, -73.9046317)",0
"(40.7386146, -73.9397516)",0
"(40.7386552, -73.9395156)",0
"(40.7710852, -73.9187365)",0
"(40.77044, -73.919491)",0
"(40.7230897, -73.921269)",0
"(40.7344073, -73.9381185)",0
"(40.720381, -73.922322)",0
"(40.7322515, -73.924519)",0
"(40.7317737, -73.9196492)",0
"(40.7326624, -73.9229617)",0
"(40.7531892, -73.9467482)",0
"(40.748546, -73.949628)",0
"(40.7510042, -73.9488024)",0
"(40.7499921, -73.9491858)",0
"(40.7492965, -73.9494165)",0
"(40.74313, -73.9158566)",0
"(40.724443, -73.915106)",0
"(40.726214, -73.920515)",0
"(40.7259476, -73.9183687)",0
"(40.7287848, -73.9261565)",0
"(40.767578, -73.935949)",0
"(40.7670189, -73.9349469)",0
"(40.7662925, -73.933628)",0
"(40.7753908, -73.9230165)",0
"(40.7746223, -73.9239852)",0
"(40.7725587, -73.9207723)",0
"(40.7739655, -73.9227995)",0
"(40.7156574, -73.9125652)",0
"(40.725595, -73.901782)",0
"(40.7257923, -73.9046673)",0
"(40.7276784, -73.9081471)",0
"(40.729719, -73.9118609)",0
"(40.724257, -73.912505)",0
"(40.722893, -73.913863)",0
"(40.7222843, -73.9134416)",0
"(40.7239086, -73.9145404)",0
"(40.720153, -73.923159)",0
"(40.7073807, -73.9184827)",0
"(40.7091315, -73.9214396)",0
"(40.7078211, -73.9192259)",0
"(40.7087015, -73.9206917)",0
"(40.7082548, -73.919951)",0
"(40.7687717, -73.906081)",0
"(40.7681152, -73.903876)",0
"(40.7687005, -73.9055977)",0
"(40.7264731, -73.9031609)",0
"(40.7274058, -73.9061092)",0
"(40.7541555, -73.9493954)",0
"(40.7524499, -73.9450143)",0
"(40.7518332, -73.9245999)",0
"(40.724182, -73.911345)",0
"(40.7232427, -73.9126075)",0
"(40.725731, -73.9093303)",0
"(40.8400447, -73.9212885)",0
"(40.8384458, -73.9218566)",0
"(40.8477216, -73.9436022)",0
"(40.8487361, -73.9430557)",0
"(40.8486855, -73.9391904)",128
"(40.8490251, -73.9411301)",25
"(40.8513259, -73.9413134)",0
"(40.8517114, -73.9419631)",0
"(40.845266, -73.9222759)",0
"(40.8460023, -73.921675)",0
"(40.8459605, -73.9217183)",0
"(40.8292687, -73.9286238)",0
"(40.8306655, -73.9271602)",0
"(40.8302041, -73.9275906)",0
"(40.7971081, -73.949054)",0
"(40.800665, -73.946462)",82
"(40.798129, -73.948311)",57
"(40.797478, -73.948792)",57
"(40.7351648, -73.9901645)",0
"(40.7495415, -74.0065691)",97
"(40.7493471, -74.0067145)",0
"(40.7499808, -74.0062107)",0
"(40.7711833, -73.9907703)",6
"(40.7502561, -74.0082754)",0
"(40.7393541, -74.0096237)",0
"(40.7497094, -74.0069476)",0
"(40.7547208, -73.975907)",0
"(40.7546598, -73.9759986)",0
"(40.771782, -73.979193)",101
"(40.7717007, -73.9788688)",0
"(40.701439, -73.984761)",0
"(40.7015304, -73.9867175)",0
"(40.7000975, -73.9869164)",0
"(40.7002063, -73.9869513)",0
"(40.702488, -73.988535)",0
"(40.701592, -73.988627)",0
"(40.7013675, -73.98285)",0
"(40.7025422, -73.9907052)",0
"(40.6764965, -73.9868147)",0
"(40.677081, -73.986308)",0
"(40.68304, -73.964779)",0
"(40.682375, -73.961611)",0
"(40.682807, -73.963664)",0
"(40.7130447, -74.0072254)",52
"(40.7138056, -74.0088463)",48
"(40.6715414, -73.9986532)",0
"(40.722498, -73.976893)",32
"(40.724877, -73.975164)",20
"(40.723078, -73.976477)",21
"(40.770004, -73.9167352)",0
"(40.747422, -73.9254604)",0
"(40.747688, -73.9254192)",0
"(40.76197, -73.92538)",0
"(40.7559709, -73.9126108)",0
"(40.7563464, -73.9134076)",0
"(40.7604752, -73.9221955)",0
"(40.7597222, -73.920591)",0
"(40.761596, -73.9245795)",0
"(40.7585975, -73.9181976)",0
"(40.77136, -73.9228592)",0
"(40.771776, -73.924441)",0
"(40.7720244, -73.9253725)",0
"(40.7353708, -73.9528401)",0
"(40.7374895, -73.9532004)",0
"(40.736787, -73.953086)",0
"(40.7389235, -73.9420869)",0
"(40.738643, -73.9406801)",0
"(40.7386857, -73.9409121)",0
"(40.7391033, -73.942964)",0
"(40.7384419, -73.9397999)",0
"(40.7378902, -73.9377234)",0
"(40.737639, -73.9358878)",0
"(40.6998353, -73.9824911)",0
"(40.7002277, -73.9863987)",0
"(40.7703867, -73.9165395)",0
"(40.7702653, -73.9166064)",0
"(40.7557562, -73.9647927)",114
"(40.770259, -73.9478049)",2
"(40.7696458, -73.9483958)",3
"(40.8028966, -73.9306427)",0
"(40.8026304, -73.9308199)",0
"(40.8120663, -73.9359874)",2
"(40.811994, -73.936037)",1
"(40.8279321, -73.9351667)",0
"(40.82764, -73.9357259)",30
"(40.8142143, -73.9342085)",0
"(40.8134041, -73.9351299)",0
"(40.8121121, -73.9360972)",0
"(40.8140239, -73.9321242)",0
"(40.8135574, -73.9348884)",0
"(40.8141069, -73.9320505)",0
"(40.8138025, -73.931372)",0
"(40.7353127, -73.9898332)",2
"(40.734916, -73.9899561)",0
"(40.74088, -73.99007)",60
"(40.7688146, -73.9707847)",0
"(40.7688034, -73.9710526)",0
"(40.7683111, -73.9708726)",2
"(40.7558613, -73.9962917)",0
"(40.7555029, -73.9954373)",0
"(40.7564802, -73.997767)",188
"(40.7570264, -73.999069)",0
"(40.689246, -73.988722)",0
"(40.6726949, -73.9707302)",0
"(40.6726464, -73.9704241)",0
"(40.6983884, -73.9830389)",0
"(40.6984483, -73.9847314)",0
"(40.6984155, -73.9839869)",0
"(40.6802, -73.953282)",0
"(40.6796913, -73.9531768)",0
"(40.697682, -73.987022)",0
"(40.8451444, -73.9225834)",0
"(40.8452483, -73.9225411)",0
"(40.8483813, -73.918515)",0
"(40.8475558, -73.9196837)",0
"(40.8450394, -73.9142471)",0
"(40.8446726, -73.9145136)",0
"(40.7068534, -73.9683554)",0
"(40.7064675, -73.9682392)",0
"(40.8242044, -73.910847)",0
"(40.8246174, -73.9105976)",0
"(40.7024429, -73.9932446)",0
"(40.7024085, -73.9932999)",0
"(40.711424, -73.959533)",0
"(40.714637, -73.9832326)",0
"(40.7143146, -73.9871795)",36
"(40.8765461, -73.9047036)",0
"(40.8764167, -73.9043272)",0
"(40.8768555, -73.905528)",0
"(40.8767089, -73.9051337)",0
"(40.7059, -73.963098)",0
"(40.706997, -73.961363)",0
"(40.699708, -73.957167)",0
"(40.700062, -73.95414)",0
"(40.698462, -73.960197)",0
"(40.69784, -73.960065)",0
"(40.686337, -73.9800174)",0
"(40.6732894, -74.0126386)",0
"(40.675199, -74.015425)",0
"(40.718, -73.9933081)",0
"(40.7181594, -73.9938242)",133
"(40.694215, -73.959311)",0
"(40.696418, -73.959769)",0
"(40.703076, -73.9599339)",0
"(40.700822, -73.957457)",0
"(40.672812, -73.9938197)",0
"(40.7162014, -73.9660716)",0
"(40.7139214, -73.9671197)",0
"(40.7136499, -74.0036256)",25
"(40.7142698, -73.9941369)",34
"(40.7156085, -73.9942713)",63
"(40.7982104, -73.9523942)",0
"(40.7982705, -73.9525304)",4
"(40.7469622, -73.9814344)",0
"(40.7508337, -73.9785767)",82
"(40.7503036, -73.9789935)",0
"(40.750392, -73.9788111)",0
"(40.7506098, -73.9789023)",0
"(40.7513515, -73.97828)",0
"(40.7508647, -73.9786508)",82
"(40.7521167, -73.9776378)",232
"(40.7513253, -73.9782153)",0
"(40.7536738, -73.9758506)",0
"(40.8493123, -73.9389502)",56
"(40.8114613, -73.9320847)",0
"(40.8096898, -73.930034)",0
"(40.844181, -73.902916)",0
"(40.832697, -73.949714)",36
"(40.8325919, -73.9496834)",0
"(40.8377677, -73.947148)",0
"(40.8428891, -73.943995)",0
"(40.8438139, -73.9439547)",0
"(40.7849758, -73.9826602)",140
"(40.7899385, -73.9803693)",26
"(40.786917, -73.981229)",16
"(40.786184, -73.981448)",9
"(40.7906174, -73.9798733)",31
"(40.8107684, -73.9644384)",17
"(40.8168846, -73.9611683)",0
"(40.818704, -73.961038)",26
"(40.818025, -73.96179)",12
"(40.8185083, -73.9612589)",0
"(40.8179951, -73.9617273)",0
"(40.804723, -73.9680127)",0
"(40.8463062, -73.9435078)",0
"(40.8364635, -73.9486588)",0
"(40.7098844, -74.0007035)",0
"(40.713135, -74.004059)",203
"(40.71148, -74.0078702)",0
"(40.7119926, -74.0081225)",70
"(40.6894155, -74.0005806)",0
"(40.6864105, -74.0020368)",0
"(40.687747, -74.0013878)",0
"(40.689063, -74.000756)",0
"(40.688414, -74.001067)",0
"(40.6886893, -73.9803919)",0
