location,acci_counts
"(40.862735, -73.903319)",0
"(40.862717, -73.902293)",0
"(40.8148632, -73.9287942)",0
"(40.8130615, -73.9298812)",0
"(40.8059831, -73.9254369)",0
"(40.8074651, -73.9289815)",0
"(40.8058756, -73.9251826)",0
"(40.8067067, -73.9245841)",0
"(40.8049127, -73.9262053)",0
"(40.8052485, -73.9257305)",0
"(40.764639, -73.932249)",0
"(40.7652267, -73.9316965)",0
"(40.7416276, -73.9542449)",0
"(40.7412903, -73.9543395)",0
"(40.7419052, -73.9497774)",0
"(40.7417208, -73.9513407)",0
"(40.7419342, -73.9537827)",0
"(40.746372, -73.9428109)",0
"(40.7467434, -73.9431941)",0
"(40.7468366, -73.9432589)",0
"(40.7423457, -73.9516117)",0
"(40.7432251, -73.9513358)",0
"(40.7166035, -73.9223024)",0
"(40.719348, -73.912321)",0
"(40.718811, -73.914265)",0
"(40.716795, -73.921538)",0
"(40.718555, -73.915167)",0
"(40.7177579, -73.9180697)",0
"(40.698188, -73.961899)",0
"(40.698039, -73.962839)",0
"(40.699841, -73.908683)",0
"(40.6995563, -73.9110442)",0
"(40.7680744, -73.9061114)",0
"(40.7420806, -73.9507033)",0
"(40.7427585, -73.9504627)",0
"(40.7685452, -73.909003)",0
"(40.7682235, -73.9070602)",0
"(40.8624678, -73.9141793)",0
"(40.8631878, -73.9158633)",0
"(40.7671189, -73.9817098)",84
"(40.7676798, -73.9818825)",0
"(40.742834, -74.007705)",147
"(40.742541, -74.0079278)",0
"(40.7619572, -74.0010621)",0
"(40.7487251, -73.9699729)",0
"(40.7516658, -73.9678291)",0
"(40.74917, -73.9696485)",0
"(40.7488566, -73.969877)",41
"(40.7520343, -73.9675604)",3
"(40.7513933, -73.9680277)",0
"(40.6896884, -73.9923676)",0
"(40.6911908, -73.9978034)",0
"(40.6831621, -73.9768053)",0
"(40.6834888, -73.9770446)",0
"(40.746143, -73.941736)",0
"(40.7446215, -73.9326468)",0
"(40.743435, -73.9224442)",0
"(40.7438644, -73.9261914)",0
"(40.7437554, -73.9252225)",0
"(40.7436451, -73.9243022)",0
"(40.742877, -73.951233)",0
"(40.7428685, -73.9509976)",0
"(40.7423276, -73.9514961)",0
"(40.7392124, -73.9525301)",0
"(40.7408536, -73.9519798)",0
"(40.7422362, -73.9515253)",0
"(40.7447527, -73.933575)",0
"(40.7451352, -73.9369191)",0
"(40.745069, -73.93635)",0
"(40.7457308, -73.9398881)",0
"(40.7459241, -73.9407548)",0
"(40.7427278, -73.9491605)",0
"(40.7425326, -73.949228)",0
"(40.7434268, -73.9489241)",0
"(40.7443441, -73.9486231)",0
"(40.7439217, -73.9487612)",0
"(40.770704, -73.9174285)",0
"(40.7708282, -73.9172832)",0
"(40.7426528, -73.951405)",0
"(40.720246, -73.9443992)",0
"(40.7208288, -73.9448997)",0
"(40.7365974, -73.9278823)",0
"(40.7361725, -73.9253901)",0
"(40.7364278, -73.9267268)",0
"(40.7362743, -73.9257604)",0
"(40.7365579, -73.9276066)",0
"(40.7371261, -73.9308832)",0
"(40.736867, -73.9314799)",0
"(40.737152, -73.930814)",0
"(40.737536, -73.929946)",0
"(40.6894849, -73.9902371)",0
"(40.6890526, -73.9904353)",0
"(40.6897042, -73.9900812)",0
"(40.7704906, -73.9176837)",0
"(40.7704354, -73.9177485)",0
"(40.7703292, -73.917587)",0
"(40.7519507, -74.0006834)",0
"(40.7519412, -73.999556)",0
"(40.7510669, -73.9980331)",1
"(40.7015183, -74.0124663)",0
"(40.7187635, -73.9751052)",0
"(40.7175925, -73.9754056)",0
"(40.7198093, -73.9782582)",0
"(40.7191978, -73.9763409)",0
"(40.7310416, -73.9739691)",0
"(40.7322984, -73.9743344)",0
"(40.7327455, -73.9744611)",17
"(40.7353695, -73.9747807)",0
"(40.748263, -73.9686462)",0
"(40.74756, -73.9687565)",23
"(40.7589757, -73.964501)",92
"(40.7596362, -73.9639971)",12
"(40.8025671, -73.9305638)",0
"(40.7198817, -73.9788004)",0
"(40.7190692, -73.976395)",0
"(40.8269238, -73.9351374)",0
"(40.8266342, -73.9352662)",0
"(40.8280397, -73.9345631)",0
"(40.8280426, -73.9348171)",0
"(40.8475695, -73.9294839)",0
"(40.8457867, -73.9254951)",0
"(40.8452812, -73.9244039)",0
"(40.8478122, -73.9300144)",0
"(40.8281459, -73.9348681)",1
"(40.8270935, -73.9353133)",0
"(40.7443489, -73.9713051)",0
"(40.7438673, -73.9716337)",15
"(40.7164064, -73.9231042)",0
"(40.71419, -73.931639)",0
"(40.7479875, -73.9705151)",0
"(40.7478579, -73.9705536)",0
"(40.7481265, -73.9704903)",0
"(40.7589299, -73.9996997)",145
"(40.7576816, -74.0006308)",77
"(40.7509001, -73.9981551)",167
"(40.7511376, -73.9987044)",0
"(40.753949, -73.9976147)",139
"(40.7534073, -73.9963173)",236
"(40.6934517, -73.9778202)",0
"(40.6935925, -73.9817371)",0
"(40.6935047, -73.9791839)",0
"(40.6933007, -73.973855)",0
"(40.6933798, -73.975848)",0
"(40.6932768, -73.9733142)",0
"(40.6961041, -73.9888915)",0
"(40.6961937, -73.9911662)",0
"(40.6961502, -73.9900629)",0
"(40.7015529, -73.9920171)",0
"(40.6970203, -73.9913738)",0
"(40.6998315, -73.990975)",0
"(40.701595, -73.99331)",0
"(40.7109567, -73.9511193)",0
"(40.7109121, -73.9516148)",0
"(40.7106809, -73.9561958)",0
"(40.7106078, -73.9554845)",0
"(40.7104253, -73.9561284)",0
"(40.710401, -73.9563526)",0
"(40.7186264, -73.9881645)",0
"(40.718874, -73.9889804)",0
"(40.7178379, -73.9863272)",0
"(40.7176324, -73.9858272)",0
"(40.7223908, -73.9933532)",0
"(40.7240975, -73.9927155)",0
"(40.7242393, -73.9926626)",0
"(40.8449567, -73.9024868)",0
"(40.8444292, -73.9027711)",0
"(40.7132906, -73.9982694)",47
"(40.6726389, -73.9696512)",0
"(40.6722379, -73.9688667)",0
"(40.8420796, -73.9392752)",0
"(40.8416657, -73.9392736)",0
"(40.7795044, -73.9816218)",0
"(40.7882867, -73.9764349)",0
"(40.7809783, -73.9812259)",0
"(40.7838162, -73.9799051)",0
"(40.785123, -73.9789382)",0
"(40.782439, -73.98073)",0
"(40.8489682, -73.9370276)",68
"(40.8501764, -73.9357231)",97
"(40.8484382, -73.9376339)",172
"(40.8483904, -73.9376885)",172
"(40.695704, -73.9910162)",0
"(40.6945581, -73.9906623)",0
"(40.7018385, -73.9921475)",0
"(40.7018454, -73.9923976)",0
"(40.7012515, -73.9914558)",0
"(40.6914888, -73.9988461)",0
"(40.6916684, -73.9994532)",0
"(40.6922824, -73.9894149)",0
"(40.6936866, -73.9832422)",0
"(40.6936563, -73.9826156)",0
"(40.6924711, -73.9904855)",0
"(40.6925374, -73.9909916)",0
"(40.8046092, -73.9322872)",0
"(40.8050586, -73.9330061)",0
"(40.806716, -73.934989)",0
"(40.8093217, -73.929498)",0
"(40.809564, -73.929219)",0
"(40.8148964, -73.9289216)",0
"(40.8133378, -73.9303471)",0
"(40.8072008, -73.9242757)",0
"(40.8087447, -73.9278633)",0
"(40.8067493, -73.9232656)",0
"(40.8085575, -73.9274331)",0
"(40.8042137, -73.9129486)",0
"(40.804576, -73.9121592)",0
"(40.8050782, -73.9233027)",0
"(40.803592, -73.91978)",0
"(40.8043488, -73.9215697)",0
"(40.8032915, -73.9155329)",0
"(40.80322, -73.917291)",0
"(40.6726402, -73.970024)",0
"(40.6729565, -73.9683269)",0
"(40.6729301, -73.9679692)",0
"(40.6999613, -73.9868695)",0
"(40.6991335, -73.9868756)",0
"(40.6999292, -73.9862192)",0
"(40.744505, -73.975224)",2
"(40.745798, -73.974306)",0
"(40.7601488, -73.9988039)",172
"(40.7608279, -73.9983286)",477
"(40.7244132, -74.0059302)",0
"(40.7237914, -74.006113)",155
